intent;mensaje;enlaces;frases
refugios_cercanos;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.gob.pe/indeci';'https://www.onu.org.pe/prevencion';'https://www.peru.gob.pe']";"['alertas meteorológicas vigentes';'medidas ante lluvias intensas']"
lenguaje_inapropiado;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.unisdr.org';'https://alerta.peru.gob.pe';'https://www.cruzroja.org.pe';'https://www.ssalud.gob.pe']";"['prevención ante sismos';'explicación de desastres naturales';'líneas de ayuda y emergencia';'qué hacer si hay un huaico']"
rutas_evacuacion;No entiendo lo que estás diciendo.;"['https://www.cruzroja.org.pe';'https://www.cenepred.gob.pe']";"['protocolos de evacuación';'alertas meteorológicas vigentes';'líneas de ayuda y emergencia';'prevención ante sismos']"
despedida;Agradezco la ayuda brindada.;"['https://www.ssalud.gob.pe';'https://www.gob.pe/indeci']";"['cómo participar en un simulacro';'medidas ante lluvias intensas']"
ayuda;¿Qué debo hacer si se emite una alerta por lluvias fuertes?;"['https://alerta.peru.gob.pe';'https://www.digemid.minsa.gob.pe']";"['explicación de desastres naturales';'alertas meteorológicas vigentes';'líneas de ayuda y emergencia']"
ayuda;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.minsa.gob.pe';'https://www.defensacivil.gob.pe']";"['líneas de ayuda y emergencia';'medidas ante lluvias intensas';'alertas meteorológicas vigentes']"
explicar_tipo_desastre;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.unisdr.org';'https://www.cenepred.gob.pe';'https://www.ssalud.gob.pe';'https://www.cruzroja.org.pe']";"['prevención ante sismos';'cómo actuar durante una emergencia';'explicación de desastres naturales']"
agradecimiento;Buenos días, ¿qué temas cubre este asistente?;"['https://www.minsa.gob.pe';'https://www.peru.gob.pe']";"['qué hacer si hay un huaico';'cómo participar en un simulacro';'medidas ante lluvias intensas']"
calidad_del_aire;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.onu.org.pe/prevencion';'https://www.ssalud.gob.pe';'https://www.unisdr.org';'https://www.digemid.minsa.gob.pe']";"['cómo participar en un simulacro';'cómo actuar durante una emergencia';'explicación de desastres naturales']"
refugios_cercanos;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.senamhi.gob.pe';'https://www.peru.gob.pe']";"['qué hacer si hay un huaico';'guía de preparación familiar';'explicación de desastres naturales';'dónde acudir en caso de desastre']"
explicar_tipo_desastre;Buenos días, ¿qué temas cubre este asistente?;"['https://www.unisdr.org';'https://www.senamhi.gob.pe']";"['líneas de ayuda y emergencia';'alertas meteorológicas vigentes';'dónde acudir en caso de desastre';'prevención ante sismos']"
ayuda;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.defensacivil.gob.pe';'https://www.minsa.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.digemid.minsa.gob.pe']";"['alertas meteorológicas vigentes';'cómo actuar durante una emergencia';'líneas de ayuda y emergencia';'medidas ante lluvias intensas']"
reportar_evento;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.gob.pe/indeci';'https://www.ssalud.gob.pe';'https://www.cruzroja.org.pe';'https://www.minsa.gob.pe']";"['explicación de desastres naturales';'protocolos de evacuación';'cómo participar en un simulacro';'prevención ante sismos']"
explicar_tipo_desastre;Quiero reportar un huaico en mi zona.;"['https://www.digemid.minsa.gob.pe';'https://www.ssalud.gob.pe']";"['líneas de ayuda y emergencia';'cómo actuar durante una emergencia']"
plan_emergencia;Hola, ¿me puedes orientar sobre qué hacer en un simulacro?;"['https://www.senamhi.gob.pe';'https://www.cenepred.gob.pe']";"['protocolos de evacuación';'cómo actuar durante una emergencia']"
obtener_pronostico;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.senamhi.gob.pe';'https://www.cenepred.gob.pe']";"['medidas ante lluvias intensas';'líneas de ayuda y emergencia';'cómo actuar durante una emergencia']"
lenguaje_inapropiado;¿Cuáles son las medidas de prevención frente a sismos?;"['https://alerta.peru.gob.pe';'https://www.ssalud.gob.pe']";"['líneas de ayuda y emergencia';'medidas ante lluvias intensas';'cómo participar en un simulacro';'cómo actuar durante una emergencia']"
recomendar_medidas;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.ssalud.gob.pe';'https://www.unisdr.org']";"['medidas ante lluvias intensas';'guía de preparación familiar']"
rutas_evacuacion;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.ssalud.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.senamhi.gob.pe']";"['protocolos de evacuación';'medidas ante lluvias intensas']"
plan_emergencia;Hola, ¿me puedes orientar sobre qué hacer en un simulacro?;"['https://www.cenepred.gob.pe';'https://www.senamhi.gob.pe';'https://www.cruzroja.org.pe']";"['alertas meteorológicas vigentes';'explicación de desastres naturales';'cómo actuar durante una emergencia';'guía de preparación familiar']"
simulacro_fecha;¿Qué debo hacer si se emite una alerta por lluvias fuertes?;"['https://www.unisdr.org';'https://www.peru.gob.pe']";"['alertas meteorológicas vigentes';'guía de preparación familiar';'protocolos de evacuación';'qué hacer si hay un huaico']"
agradecimiento;Hola, gracias por la atención.;"['https://www.digemid.minsa.gob.pe';'https://www.cruzroja.org.pe';'https://alerta.peru.gob.pe']";"['protocolos de evacuación';'prevención ante sismos';'sugerencias sobre la calidad del aire']"
simulacro_fecha;¿Cuáles son las medidas de prevención frente a sismos?;"['https://www.ssalud.gob.pe';'https://www.defensacivil.gob.pe';'https://www.cenepred.gob.pe';'https://www.unisdr.org']";"['líneas de ayuda y emergencia';'guía de preparación familiar';'sugerencias sobre la calidad del aire']"
plan_emergencia;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.cenepred.gob.pe';'https://www.minsa.gob.pe']";"['medidas ante lluvias intensas';'alertas meteorológicas vigentes';'cómo participar en un simulacro';'prevención ante sismos']"
lenguaje_inapropiado;Buenos días, ¿qué temas cubre este asistente?;"['https://www.cruzroja.org.pe';'https://www.digemid.minsa.gob.pe';'https://www.peru.gob.pe']";"['qué hacer si hay un huaico';'prevención ante sismos']"
lenguaje_inapropiado;Quiero reportar un huaico en mi zona.;"['https://alerta.peru.gob.pe';'https://www.cruzroja.org.pe';'https://www.senamhi.gob.pe';'https://www.cenepred.gob.pe']";"['sugerencias sobre la calidad del aire';'medidas ante lluvias intensas']"
refugios_cercanos;¿Puedes explicarme qué es un aluvión?;"['https://alerta.peru.gob.pe';'https://www.gob.pe/indeci';'https://www.unisdr.org';'https://www.defensacivil.gob.pe']";"['sugerencias sobre la calidad del aire';'cómo participar en un simulacro';'alertas meteorológicas vigentes';'qué hacer si hay un huaico']"
recomendar_medidas;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.cruzroja.org.pe';'https://www.onu.org.pe/prevencion';'https://www.senamhi.gob.pe';'https://www.minsa.gob.pe']";"['líneas de ayuda y emergencia';'guía de preparación familiar';'sugerencias sobre la calidad del aire';'prevención ante sismos']"
simulacro_fecha;Quiero reportar un huaico en mi zona.;"['https://alerta.peru.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.senamhi.gob.pe']";"['explicación de desastres naturales';'protocolos de evacuación';'medidas ante lluvias intensas']"
lenguaje_inapropiado;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.gob.pe/indeci';'https://www.cenepred.gob.pe';'https://alerta.peru.gob.pe';'https://www.ssalud.gob.pe']";"['qué hacer si hay un huaico';'prevención ante sismos';'protocolos de evacuación']"
despedida;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.defensacivil.gob.pe';'https://www.unisdr.org';'https://www.ssalud.gob.pe']";"['cómo actuar durante una emergencia';'líneas de ayuda y emergencia']"
ayuda;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.unisdr.org';'https://www.digemid.minsa.gob.pe';'https://alerta.peru.gob.pe']";"['prevención ante sismos';'protocolos de evacuación';'dónde acudir en caso de desastre']"
reportar_evento;¿Cuáles son las medidas de prevención frente a sismos?;"['https://www.defensacivil.gob.pe';'https://www.cenepred.gob.pe';'https://alerta.peru.gob.pe';'https://www.unisdr.org']";"['medidas ante lluvias intensas';'cómo participar en un simulacro']"
intencion_desconocida;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.defensacivil.gob.pe';'https://www.ssalud.gob.pe';'https://www.senamhi.gob.pe';'https://www.minsa.gob.pe']";"['explicación de desastres naturales';'alertas meteorológicas vigentes';'dónde acudir en caso de desastre']"
plan_emergencia;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.gob.pe/indeci';'https://alerta.peru.gob.pe';'https://www.cenepred.gob.pe';'https://www.minsa.gob.pe']";"['dónde acudir en caso de desastre';'guía de preparación familiar']"
despedida;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.gob.pe/indeci';'https://www.ssalud.gob.pe';'https://www.defensacivil.gob.pe']";"['qué hacer si hay un huaico';'cómo participar en un simulacro';'guía de preparación familiar']"
ayuda;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.peru.gob.pe';'https://www.minsa.gob.pe';'https://www.cruzroja.org.pe']";"['sugerencias sobre la calidad del aire';'protocolos de evacuación';'prevención ante sismos';'alertas meteorológicas vigentes']"
lenguaje_inapropiado;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.gob.pe/indeci';'https://www.unisdr.org']";"['sugerencias sobre la calidad del aire';'alertas meteorológicas vigentes';'prevención ante sismos';'qué hacer si hay un huaico']"
reportar_evento;¿Cuáles son las medidas de prevención frente a sismos?;"['https://www.minsa.gob.pe';'https://www.unisdr.org']";"['alertas meteorológicas vigentes';'sugerencias sobre la calidad del aire']"
reportar_evento;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.minsa.gob.pe';'https://www.cenepred.gob.pe';'https://www.peru.gob.pe';'https://www.unisdr.org']";"['dónde acudir en caso de desastre';'cómo actuar durante una emergencia';'cómo participar en un simulacro';'guía de preparación familiar']"
saludo;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.cenepred.gob.pe';'https://www.unisdr.org';'https://www.ssalud.gob.pe']";"['líneas de ayuda y emergencia';'guía de preparación familiar';'explicación de desastres naturales']"
obtener_pronostico;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.unisdr.org';'https://www.peru.gob.pe';'https://www.ssalud.gob.pe']";"['sugerencias sobre la calidad del aire';'protocolos de evacuación';'explicación de desastres naturales']"
refugios_cercanos;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.defensacivil.gob.pe';'https://www.digemid.minsa.gob.pe';'https://www.cruzroja.org.pe';'https://www.minsa.gob.pe']";"['guía de preparación familiar';'dónde acudir en caso de desastre']"
simulacro_fecha;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.cruzroja.org.pe';'https://alerta.peru.gob.pe';'https://www.defensacivil.gob.pe';'https://www.onu.org.pe/prevencion']";"['prevención ante sismos';'líneas de ayuda y emergencia']"
recomendar_medidas;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.unisdr.org';'https://www.senamhi.gob.pe']";"['alertas meteorológicas vigentes';'cómo actuar durante una emergencia';'medidas ante lluvias intensas';'explicación de desastres naturales']"
recomendar_medidas;¿Cuáles son las medidas de prevención frente a sismos?;"['https://www.onu.org.pe/prevencion';'https://www.unisdr.org';'https://www.digemid.minsa.gob.pe';'https://www.ssalud.gob.pe']";"['dónde acudir en caso de desastre';'medidas ante lluvias intensas';'protocolos de evacuación']"
recomendar_medidas;Hola, ¿me puedes orientar sobre qué hacer en un simulacro?;"['https://www.onu.org.pe/prevencion';'https://www.unisdr.org']";"['protocolos de evacuación';'cómo actuar durante una emergencia';'prevención ante sismos';'medidas ante lluvias intensas']"
obtener_pronostico;Buenos días, ¿qué temas cubre este asistente?;"['https://www.defensacivil.gob.pe';'https://www.peru.gob.pe']";"['alertas meteorológicas vigentes';'cómo participar en un simulacro';'explicación de desastres naturales']"
refugios_cercanos;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.defensacivil.gob.pe';'https://www.cruzroja.org.pe';'https://www.ssalud.gob.pe';'https://www.onu.org.pe/prevencion']";"['alertas meteorológicas vigentes';'qué hacer si hay un huaico';'cómo participar en un simulacro';'explicación de desastres naturales']"
simulacro_fecha;¿Puedes explicarme qué es un aluvión?;"['https://www.peru.gob.pe';'https://www.cruzroja.org.pe';'https://www.senamhi.gob.pe']";"['cómo actuar durante una emergencia';'líneas de ayuda y emergencia';'protocolos de evacuación']"
intencion_desconocida;Buenos días, ¿qué temas cubre este asistente?;"['https://alerta.peru.gob.pe';'https://www.gob.pe/indeci']";"['dónde acudir en caso de desastre';'sugerencias sobre la calidad del aire';'medidas ante lluvias intensas';'protocolos de evacuación']"
agradecimiento;Hola, ¿me puedes orientar sobre qué hacer en un simulacro?;"['https://www.gob.pe/indeci';'https://www.senamhi.gob.pe']";"['qué hacer si hay un huaico';'explicación de desastres naturales';'prevención ante sismos';'cómo actuar durante una emergencia']"
alertas_meteorologicas;Hola, gracias por la atención.;"['https://www.peru.gob.pe';'https://www.onu.org.pe/prevencion']";"['cómo actuar durante una emergencia';'protocolos de evacuación';'alertas meteorológicas vigentes']"
ayuda;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.onu.org.pe/prevencion';'https://www.cruzroja.org.pe';'https://www.cenepred.gob.pe']";"['qué hacer si hay un huaico';'protocolos de evacuación';'dónde acudir en caso de desastre';'medidas ante lluvias intensas']"
obtener_pronostico;No entiendo lo que estás diciendo.;"['https://www.onu.org.pe/prevencion';'https://www.cenepred.gob.pe']";"['medidas ante lluvias intensas';'explicación de desastres naturales']"
refugios_cercanos;Me gustaría saber si hay refugios disponibles cerca.;"['https://alerta.peru.gob.pe';'https://www.peru.gob.pe';'https://www.ssalud.gob.pe';'https://www.unisdr.org']";"['cómo actuar durante una emergencia';'medidas ante lluvias intensas';'líneas de ayuda y emergencia';'sugerencias sobre la calidad del aire']"
lenguaje_inapropiado;¿Dónde encuentro información sobre rutas de evacuación?;"['https://alerta.peru.gob.pe';'https://www.minsa.gob.pe']";"['prevención ante sismos';'protocolos de evacuación';'sugerencias sobre la calidad del aire']"
recomendar_medidas;Quiero reportar un huaico en mi zona.;"['https://www.peru.gob.pe';'https://www.unisdr.org']";"['prevención ante sismos';'líneas de ayuda y emergencia']"
alertas_meteorologicas;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.defensacivil.gob.pe';'https://www.cruzroja.org.pe';'https://www.peru.gob.pe']";"['sugerencias sobre la calidad del aire';'qué hacer si hay un huaico']"
explicar_tipo_desastre;Me gustaría saber si hay refugios disponibles cerca.;"['https://alerta.peru.gob.pe';'https://www.peru.gob.pe';'https://www.gob.pe/indeci';'https://www.unisdr.org']";"['cómo actuar durante una emergencia';'protocolos de evacuación']"
reportar_evento;Agradezco la ayuda brindada.;"['https://www.digemid.minsa.gob.pe';'https://www.peru.gob.pe';'https://www.onu.org.pe/prevencion']";"['líneas de ayuda y emergencia';'sugerencias sobre la calidad del aire';'explicación de desastres naturales']"
explicar_tipo_desastre;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.senamhi.gob.pe';'https://www.unisdr.org';'https://www.cenepred.gob.pe']";"['medidas ante lluvias intensas';'prevención ante sismos']"
simulacro_fecha;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.digemid.minsa.gob.pe';'https://www.cenepred.gob.pe']";"['medidas ante lluvias intensas';'alertas meteorológicas vigentes';'guía de preparación familiar';'qué hacer si hay un huaico']"
obtener_pronostico;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.senamhi.gob.pe';'https://www.ssalud.gob.pe';'https://www.cruzroja.org.pe';'https://alerta.peru.gob.pe']";"['explicación de desastres naturales';'cómo actuar durante una emergencia';'líneas de ayuda y emergencia']"
recomendar_medidas;Agradezco la ayuda brindada.;"['https://www.minsa.gob.pe';'https://www.digemid.minsa.gob.pe']";"['líneas de ayuda y emergencia';'prevención ante sismos';'dónde acudir en caso de desastre']"
despedida;¿Puedes explicarme qué es un aluvión?;"['https://www.onu.org.pe/prevencion';'https://www.defensacivil.gob.pe']";"['qué hacer si hay un huaico';'medidas ante lluvias intensas';'líneas de ayuda y emergencia']"
calidad_del_aire;¿Cuáles son las medidas de prevención frente a sismos?;"['https://alerta.peru.gob.pe';'https://www.unisdr.org';'https://www.senamhi.gob.pe']";"['explicación de desastres naturales';'protocolos de evacuación';'medidas ante lluvias intensas';'qué hacer si hay un huaico']"
recomendar_medidas;Quiero reportar un huaico en mi zona.;"['https://www.defensacivil.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.digemid.minsa.gob.pe']";"['guía de preparación familiar';'alertas meteorológicas vigentes';'qué hacer si hay un huaico';'dónde acudir en caso de desastre']"
saludo;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.cenepred.gob.pe';'https://www.ssalud.gob.pe';'https://www.senamhi.gob.pe']";"['alertas meteorológicas vigentes';'líneas de ayuda y emergencia']"
plan_emergencia;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.onu.org.pe/prevencion';'https://www.cruzroja.org.pe']";"['qué hacer si hay un huaico';'cómo actuar durante una emergencia']"
intencion_desconocida;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.minsa.gob.pe';'https://www.ssalud.gob.pe';'https://www.senamhi.gob.pe';'https://www.digemid.minsa.gob.pe']";"['sugerencias sobre la calidad del aire';'cómo participar en un simulacro']"
intencion_desconocida;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.digemid.minsa.gob.pe';'https://www.senamhi.gob.pe']";"['cómo participar en un simulacro';'alertas meteorológicas vigentes';'sugerencias sobre la calidad del aire';'dónde acudir en caso de desastre']"
lenguaje_inapropiado;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.minsa.gob.pe';'https://www.digemid.minsa.gob.pe']";"['líneas de ayuda y emergencia';'qué hacer si hay un huaico';'guía de preparación familiar';'alertas meteorológicas vigentes']"
plan_emergencia;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.senamhi.gob.pe';'https://www.defensacivil.gob.pe']";"['cómo participar en un simulacro';'cómo actuar durante una emergencia';'dónde acudir en caso de desastre']"
lenguaje_inapropiado;¿Puedes explicarme qué es un aluvión?;"['https://alerta.peru.gob.pe';'https://www.senamhi.gob.pe']";"['prevención ante sismos';'explicación de desastres naturales';'líneas de ayuda y emergencia']"
calidad_del_aire;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.cenepred.gob.pe';'https://www.defensacivil.gob.pe']";"['cómo participar en un simulacro';'alertas meteorológicas vigentes';'cómo actuar durante una emergencia']"
simulacro_fecha;Buenos días, ¿qué temas cubre este asistente?;"['https://www.peru.gob.pe';'https://alerta.peru.gob.pe';'https://www.cenepred.gob.pe';'https://www.ssalud.gob.pe']";"['sugerencias sobre la calidad del aire';'cómo actuar durante una emergencia';'líneas de ayuda y emergencia']"
alertas_meteorologicas;Buenos días, ¿qué temas cubre este asistente?;"['https://www.onu.org.pe/prevencion';'https://www.digemid.minsa.gob.pe']";"['sugerencias sobre la calidad del aire';'medidas ante lluvias intensas']"
intencion_desconocida;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.gob.pe/indeci';'https://www.ssalud.gob.pe';'https://www.senamhi.gob.pe']";"['dónde acudir en caso de desastre';'alertas meteorológicas vigentes';'prevención ante sismos']"
alertas_meteorologicas;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.cenepred.gob.pe';'https://www.digemid.minsa.gob.pe';'https://www.cruzroja.org.pe';'https://www.ssalud.gob.pe']";"['dónde acudir en caso de desastre';'sugerencias sobre la calidad del aire']"
refugios_cercanos;Quiero reportar un huaico en mi zona.;"['https://www.senamhi.gob.pe';'https://www.gob.pe/indeci']";"['medidas ante lluvias intensas';'cómo actuar durante una emergencia';'dónde acudir en caso de desastre';'qué hacer si hay un huaico']"
rutas_evacuacion;¿Cuáles son las medidas de prevención frente a sismos?;"['https://www.cenepred.gob.pe';'https://www.senamhi.gob.pe';'https://www.peru.gob.pe';'https://www.ssalud.gob.pe']";"['explicación de desastres naturales';'sugerencias sobre la calidad del aire';'protocolos de evacuación';'guía de preparación familiar']"
rutas_evacuacion;Buenos días, ¿qué temas cubre este asistente?;"['https://www.senamhi.gob.pe';'https://www.onu.org.pe/prevencion']";"['protocolos de evacuación';'sugerencias sobre la calidad del aire';'explicación de desastres naturales']"
lenguaje_inapropiado;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.onu.org.pe/prevencion';'https://www.cruzroja.org.pe';'https://www.gob.pe/indeci']";"['líneas de ayuda y emergencia';'cómo actuar durante una emergencia';'prevención ante sismos']"
saludo;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.ssalud.gob.pe';'https://alerta.peru.gob.pe';'https://www.digemid.minsa.gob.pe';'https://www.senamhi.gob.pe']";"['cómo participar en un simulacro';'guía de preparación familiar';'líneas de ayuda y emergencia']"
ayuda;Me gustaría saber si hay refugios disponibles cerca.;"['https://alerta.peru.gob.pe';'https://www.unisdr.org';'https://www.senamhi.gob.pe']";"['qué hacer si hay un huaico';'dónde acudir en caso de desastre';'sugerencias sobre la calidad del aire']"
recomendar_medidas;Agradezco la ayuda brindada.;"['https://www.cruzroja.org.pe';'https://alerta.peru.gob.pe']";"['líneas de ayuda y emergencia';'prevención ante sismos']"
calidad_del_aire;Hola, ¿me puedes orientar sobre qué hacer en un simulacro?;"['https://www.defensacivil.gob.pe';'https://www.cruzroja.org.pe';'https://www.onu.org.pe/prevencion']";"['guía de preparación familiar';'protocolos de evacuación';'líneas de ayuda y emergencia';'cómo actuar durante una emergencia']"
explicar_tipo_desastre;Buenos días, ¿qué temas cubre este asistente?;"['https://www.cruzroja.org.pe';'https://www.senamhi.gob.pe';'https://www.gob.pe/indeci']";"['qué hacer si hay un huaico';'cómo participar en un simulacro';'alertas meteorológicas vigentes']"
lenguaje_inapropiado;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.onu.org.pe/prevencion';'https://www.unisdr.org';'https://www.senamhi.gob.pe']";"['cómo actuar durante una emergencia';'dónde acudir en caso de desastre';'protocolos de evacuación']"
simulacro_fecha;Buenos días, ¿qué temas cubre este asistente?;"['https://www.senamhi.gob.pe';'https://www.defensacivil.gob.pe';'https://www.gob.pe/indeci']";"['prevención ante sismos';'líneas de ayuda y emergencia']"
refugios_cercanos;¿Cuáles son las medidas de prevención frente a sismos?;"['https://alerta.peru.gob.pe';'https://www.cruzroja.org.pe']";"['cómo actuar durante una emergencia';'alertas meteorológicas vigentes';'sugerencias sobre la calidad del aire';'prevención ante sismos']"
alertas_meteorologicas;Buenos días, ¿qué temas cubre este asistente?;"['https://www.defensacivil.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.cruzroja.org.pe';'https://www.ssalud.gob.pe']";"['protocolos de evacuación';'prevención ante sismos';'cómo actuar durante una emergencia';'explicación de desastres naturales']"
ayuda;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.gob.pe/indeci';'https://www.peru.gob.pe';'https://alerta.peru.gob.pe']";"['sugerencias sobre la calidad del aire';'dónde acudir en caso de desastre';'protocolos de evacuación']"
agradecimiento;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.ssalud.gob.pe';'https://www.cruzroja.org.pe';'https://www.senamhi.gob.pe';'https://alerta.peru.gob.pe']";"['dónde acudir en caso de desastre';'alertas meteorológicas vigentes';'cómo participar en un simulacro';'guía de preparación familiar']"
rutas_evacuacion;¿Qué debo hacer si se emite una alerta por lluvias fuertes?;"['https://www.digemid.minsa.gob.pe';'https://www.peru.gob.pe';'https://www.unisdr.org';'https://www.minsa.gob.pe']";"['medidas ante lluvias intensas';'líneas de ayuda y emergencia';'cómo participar en un simulacro';'prevención ante sismos']"
lenguaje_inapropiado;Buenos días, ¿qué temas cubre este asistente?;"['https://www.gob.pe/indeci';'https://www.senamhi.gob.pe';'https://www.ssalud.gob.pe';'https://www.onu.org.pe/prevencion']";"['guía de preparación familiar';'prevención ante sismos';'alertas meteorológicas vigentes';'cómo actuar durante una emergencia']"
rutas_evacuacion;Quiero reportar un huaico en mi zona.;"['https://www.defensacivil.gob.pe';'https://www.digemid.minsa.gob.pe';'https://www.gob.pe/indeci']";"['sugerencias sobre la calidad del aire';'protocolos de evacuación';'qué hacer si hay un huaico';'prevención ante sismos']"
plan_emergencia;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.defensacivil.gob.pe';'https://www.peru.gob.pe';'https://www.onu.org.pe/prevencion';'https://alerta.peru.gob.pe']";"['cómo participar en un simulacro';'dónde acudir en caso de desastre';'explicación de desastres naturales']"
plan_emergencia;Hola, gracias por la atención.;"['https://www.onu.org.pe/prevencion';'https://www.peru.gob.pe']";"['prevención ante sismos';'líneas de ayuda y emergencia']"
